path,status,reason,expected_sha,actual_sha
configs/pipeline.yaml,PASS,,c859069fe7d1720ef12a97bf49212a476a7acc1e2b4900dd624a83e917b9957f,c859069fe7d1720ef12a97bf49212a476a7acc1e2b4900dd624a83e917b9957f
configs/site_quality_policy.yaml,PASS,,6b9e8894ef5ee40cd94d6b8997fb4c3b1eb5de7ca6d8de44e4aad0d407a5ddf0,6b9e8894ef5ee40cd94d6b8997fb4c3b1eb5de7ca6d8de44e4aad0d407a5ddf0
configs/manual_station_geo_overrides.csv,PASS,,2de75762284c7069b21fea28a8fcfd68dbe169a8aaacef4cc68c5c3980cb5efa,2de75762284c7069b21fea28a8fcfd68dbe169a8aaacef4cc68c5c3980cb5efa
output/pv_pipeline/predictions/distributed_predictions_final_full.pkl,PASS,,1dfbd54db9505154aa46e03f051f54dbb489e8479179e44b6a5e4b4fb779aa2e,1dfbd54db9505154aa46e03f051f54dbb489e8479179e44b6a5e4b4fb779aa2e
output/pv_pipeline/predictions/distributed_predictions_final_eval.pkl,PASS,,2c12ef4523cb47c480cf01504639be49bfcbf8b2d62d83534b0ae9248080398d,2c12ef4523cb47c480cf01504639be49bfcbf8b2d62d83534b0ae9248080398d
output/pv_pipeline/metrics/hourly_nrmse_consistent.csv,PASS,,e2ef1130f18d1916b3b74b2f92b76bbaa5964fe728826a44bc57194ee8dabb2e,e2ef1130f18d1916b3b74b2f92b76bbaa5964fe728826a44bc57194ee8dabb2e
output/pv_pipeline/metrics/site_metrics_consistent.csv,PASS,,4fa0aee2d7a8fa398913e6703ec7a021d9f2e8d0d7a6e447054daf922799929b,4fa0aee2d7a8fa398913e6703ec7a021d9f2e8d0d7a6e447054daf922799929b
output/pv_pipeline/metrics/round61_compare_summary.csv,PASS,,1ce08cfdbc6f6a5ebc17413663cf86b3147c863d58930b66b51bb72166819edd,1ce08cfdbc6f6a5ebc17413663cf86b3147c863d58930b66b51bb72166819edd
output/pv_pipeline/metrics/round61_compare_hourly.csv,PASS,,0070ce183780e61076f62d02541094e8fc5fd7fa862c4152854c967e77152376,0070ce183780e61076f62d02541094e8fc5fd7fa862c4152854c967e77152376
output/pv_pipeline/metrics/round61_compare_site.csv,PASS,,cf291cf01a7ca865ee32810fbc26436607c433ee27ee58c7b5ff94b9e22ec3bd,cf291cf01a7ca865ee32810fbc26436607c433ee27ee58c7b5ff94b9e22ec3bd
output/pv_pipeline/manifest.json,PASS,,2da08fb14119adf11bac9d0d4297f7845b66539e71a34f9d944be5fee4f77f40,2da08fb14119adf11bac9d0d4297f7845b66539e71a34f9d944be5fee4f77f40
docs/Round61_城市总量校准与站点稳定性保护报告.md,FAIL,file missing,e7a2bf2fbc1f032d344fa29535dfb18daedf15909abb543dff165ecc270d4110,N/A
scripts/train_city_total_calibrator.py,PASS,,65415fb775d94fe31bd4503104a6c1ade78cca317fc8862fecbd48a72baeb3c0,65415fb775d94fe31bd4503104a6c1ade78cca317fc8862fecbd48a72baeb3c0
scripts/apply_round61_city_calibration.py,PASS,,4a4435f17fc4feb49f5f3c674b174266bbb20d2ac0528f0ce640b7fd12212dee,4a4435f17fc4feb49f5f3c674b174266bbb20d2ac0528f0ce640b7fd12212dee
scripts/select_round61_final_prediction.py,PASS,,92ee5bfe0e3f23c16847c91a7d56dbd571a981a40da421f52208352c9cdebaee,92ee5bfe0e3f23c16847c91a7d56dbd571a981a40da421f52208352c9cdebaee
scripts/compare_round58_59_60_61_metrics.py,PASS,,0a8bbc6bf2a3d8718be43612bdcceeadd0965d59735577720c158877b59bb38c,0a8bbc6bf2a3d8718be43612bdcceeadd0965d59735577720c158877b59bb38c
